[ 2025-10-08 20:11:26,598 ] 15 root - INFO - Data ingestion started
[ 2025-10-08 20:11:34,900 ] 72 root - INFO - Performed Train Test split on the Dataframe
[ 2025-10-08 20:11:34,901 ] 73 root - INFO - Exited split_train_test_from_data method of data_ingestion class
[ 2025-10-08 20:11:34,902 ] 77 root - INFO - Exporting train and test file Path.
[ 2025-10-08 20:11:35,179 ] 85 root - INFO - Exported train and test file path
[ 2025-10-08 20:11:35,181 ] 17 root - INFO - Data Ingestion Completed
[ 2025-10-08 20:11:35,203 ] 24 root - INFO - Initiate the Data Validation
[ 2025-10-08 20:11:35,456 ] 41 root - INFO - Required number of columns:31
[ 2025-10-08 20:11:35,457 ] 42 root - INFO - Data frame has columns:31
[ 2025-10-08 20:11:35,458 ] 41 root - INFO - Required number of columns:31
[ 2025-10-08 20:11:35,458 ] 42 root - INFO - Data frame has columns:31
[ 2025-10-08 20:11:36,170 ] 64 root - INFO - All required numerical columns are present
[ 2025-10-08 20:11:36,170 ] 64 root - INFO - All required numerical columns are present
[ 2025-10-08 20:11:36,172 ] 26 root - INFO - Data Validation Completed
[ 2025-10-08 20:11:36,173 ] 31 root - INFO - Initiate Data Transformation
[ 2025-10-08 20:11:36,173 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-10-08 20:11:36,173 ] 65 root - INFO - Starting data transformation
[ 2025-10-08 20:11:36,437 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-10-08 20:11:36,438 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-10-08 20:11:36,476 ] 44 root - INFO - Entered the save_object method of MainUtils class
[ 2025-10-08 20:11:36,484 ] 48 root - INFO - Exited the save_object method of MainUtils class
[ 2025-10-08 20:11:36,484 ] 44 root - INFO - Entered the save_object method of MainUtils class
[ 2025-10-08 20:11:36,492 ] 48 root - INFO - Exited the save_object method of MainUtils class
[ 2025-10-08 20:11:36,496 ] 34 root - INFO - Data Transformation Completed
